item,x_coor,y_coor
1,781.18,971.69
2,237.38,918.36
3,994.11,224.86
4,212.33,714.51
5,979.01,899.66
6,407.45,633.5
7,644.42,306.5
8,293.57,472.21
9,88.7,29.51
10,819.69,236.82
11,45.35,318.12
12,144.61,821.12
13,893.05,39.82
14,744,296.64
15,168.65,754.13
16,802.26,679.9
17,392.12,883.87
18,297.32,346.33
19,937.69,875.16
20,569.91,504.39
21,650.42,589.54
22,452.29,333.03
23,354.24,562.28
24,382.44,104.63
25,700.55,507.33
26,245.63,546.86
27,262.95,804.78
28,897.2,824.33
29,30.96,330.86
30,202.48,752.88
31,106.44,974.77
32,768.97,233.12
33,903.28,765
34,604.8,404.08
35,323.08,824.65
36,795.6,807.96
37,653,540.36
38,646.54,182.19
39,568.95,755.13
40,100.53,542.56
41,637.51,954.96
42,630.29,2.68
43,296.68,965.84
44,818.44,350.19
45,649.03,197.84
46,615.26,617.28
47,512.69,8.59
48,594.73,439.52
49,629.2,252.48
50,620.9,163.27
51,283.54,243.63
52,276.13,243.91
53,990.46,532.6
54,28.75,137.68
55,389.14,563.81
56,798.4,640.06
57,64.95,541.08
58,586.54,604.98
59,447.21,199.67
60,284.71,619.11
61,415.7,295.78
62,784.15,875.14
63,376.87,913.14
64,823.39,863.73
65,113.84,967.56
66,711.78,441.97
67,461.92,216.36
68,489.61,691.28
69,196.86,476.18
70,250.3,807.03
71,527.01,653.96
72,637.21,792.95
73,638.16,6.77
74,538.5,488.59
75,428.92,178.5
76,28.89,936.1
77,318.73,715.28
78,107.03,293.78
79,375.13,507.78
80,598.9,489.86
81,88.9,79.14
82,813.38,89.38
83,526.21,792.49
84,126.32,485.77
85,657.76,941.52
86,393.48,899.78
87,726.68,821.82
88,585.28,709.25
89,936,15.36
90,546.94,52.22
91,238.63,809
92,188.99,271.25
93,559.09,665.77
94,874.64,134.22
95,917.2,674.95
96,96.04,970.07
97,40.18,763.38
98,957.64,689.38
99,802.78,610.8
100,445.87,917.31
